mechanism,eps,time
LaplaceMechanism,0.099,47
NoisyHist1,0.086,360
NoisyHist2,9.956,420
LaplaceParallel,0.014,1560
ReportNoisyMax1,0.092,46
ReportNoisyMax2,0.100,48
ReportNoisyMax3,0.198,120
ReportNoisyMax4,0.194,120
SparseVectorTechnique1,0.042,180
SparseVectorTechnique2,0.032,180
SparseVectorTechnique3,0.183,3240
SparseVectorTechnique4,0.170,240
SparseVectorTechnique5,14.314,180
SparseVectorTechnique6,0.317,240
SVT34Parallel,0.137,10800
NumericalSVT,0.032,960
PrefixSum,0.348,2040
OneTimeRAPPOR,0.476,420
Rappor,0.245,540
TruncatedGeometric,0.117,120
